"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"LS","006260","KOSPI","구자열","오너·특수관계","32.58","33.11","▲0.53%p","+2,354주","특별관계자 추가 및 보유주식수 변동 - 보유주식에 관한 계약 변경","+54억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000465"
"사조대림","003960","KOSPI","사조산업","오너·특수관계","75.79","76.92","▲1.13%p","+100,540주","특별관계자 보유주식 변동(1% 이상)","+31억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000432"
"대동","000490","KOSPI","김준식","오너·특수관계","34.17","34.58","▲0.41%p","+120,020주","임원 및 특별관계자 장내 매수","+9억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000236"
"에이텍모빌리티","224110","KOSDAQ","신승영","오너·특수관계","38.53","40.22","▲1.69%p","+85,610주","특별관계자의 보유주식수 변동","+7억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000056"
"전방","000950","KOSPI","삼영엔지니어링","오너·특수관계","17.4","18.46","▲1.06%p","+17,818주","특별관계자 장내매수 취득","+6억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000448"
"서울옥션","063170","KOSDAQ","이호재","오너·특수관계","30.1","30.55","▲0.45%p","+80,000주","특별관계자 보유주식수 변동(1%미만) - 특별관계자 주식 담보대출 변경","+4억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000175"
"한국콜마","161890","KOSPI","콜마홀딩스","오너·특수관계","26.55","26.54","▼0.01%p","-1,326주","특별관계자 장내매도 및 특별관계 해소","-2억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000337"
"카카오게임즈","293490","KOSDAQ","카카오","오너·특수관계","61.88","56.89","▼4.99%p","-5,875,849주","계열제외에 따른 관련 특별관계자 및 보유비율 변동","+2억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000388"
"에프엔씨엔터","173940","KOSDAQ","한성호","오너·특수관계","55.26","55.61","▲0.35%p","+72,765주","특별관계자 장내매수에 따른 특별관계자 추가 및 보유주식수 변동","+2억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000135"
"한국정밀기계","101680","KOSDAQ","하종식","오너·특수관계","53.36","54.04","▲0.68%p","+57,141주","특별관계자 추가(장내매수) 및 특별관계자의 장내매수","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000263"
"비큐AI","148780","KOSDAQ","임경환","오너·특수관계","35.31","36.16","▲0.85%p","+36,000주","장내매수로 인한 보유 주식수 증가(변동)최대주주 거래계획 이행 중간 보고","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000055"
"비큐AI","148780","KOSDAQ","임경환","오너·특수관계","35.31","36.16","▲0.85%p","+36,000주","장내매수로 인한 보유 주식수 증가(변동) 최대주주 거래계획 이행 중간 보고","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000098"
"탑엔지니어링","065130","KOSDAQ","김원남","오너·특수관계","28.65","28.87","▲0.22%p","+35,000주","특별관계자의 장내매수에 따른 보유주식수의 변동","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000173"
"삼진제약","005500","KOSPI","최승주","오너·특수관계","10.33","0","▼10.33%p","-1,375,889주","장내매매 - 대표보고자의 증여 및 특별관계자의 수증으로 인한 대표보고자 변경","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000395"
"프로티나","468530","KOSDAQ","윤태영","오너·특수관계","25.76","25.63","▼0.13%p","0주","특별관계자의 주식매수선택권 행사에 따른 보유형태 (보유→소유) 변경 보고 ※","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000186"
"제테마","216080","KOSDAQ","김재영","오너·특수관계","28.94","28.94","0%p","0주","최대주주 주식담보대출 일부상환 및 계약변경","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000225"
"삼진제약","005500","KOSPI","최지현","오너·특수관계","0","10.31","▲10.31%p","+1,373,714주","대표보고자 변경에 따른 신규보고 (변경전 : 최승주 / 변경후 : 최지현),","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000402"
"아이티엠반도체","084850","KOSDAQ","NICE","오너·특수관계","61.44","61.4","▼0.04%p","-8,388주","특별관계자의 보유주식수 변동 및 주식담보계약 변경","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000385"
"스마트레이더시스템","424960","KOSDAQ","김용환","오너·특수관계","26.18","21.05","▼5.13%p","-846,749주","공동목적보유확약서 계약기간 만료 - 특별관계자 주식 증여","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000346"
