"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"한화머시너리앤서비스홀딩스","0220W0","KOSPI","김승연","주요주주","0","60.32","▲60.32%p","+50,981,693주","분할재상장에 따른 신규보고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000257"
"새빗켐","107600","KOSDAQ","에스케이아이엘에코시너지밸류업1호","오너·특수관계","0","49.84","▲49.84%p","+2,482,704주","대표보고자 변경에 따른 신규보고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000328"
"나노씨엠에스","247660","KOSDAQ","에스에이치에너지알이백","오너·특수관계","0","24.75","▲24.75%p","+1,294,718주","제3자배정 유상신주 인수 및 특별관계자 추가","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000312"
"대동금속","020400","KOSDAQ","대동","주요주주","52.78","70.16","▲17.38%p","+3,000,000주","제3자배정 유상증자로 의한 신주 취득","+87억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000086"
"써니전자","004770","KOSPI","케이엑스에셋","주요주주","0","13.5","▲13.5%p","+4,795,279주","5% 이상 장내매수","+40억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000348"
"새빗켐","107600","KOSDAQ","에스케이아이엘에코시너지밸류업1호","주요주주","51.83","57.38","▲5.55%p","+648,509주","교환사채 인수계약 체결 및 종결, 유상신주 취득","+103억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000335"
"TS트릴리온","317240","KOSDAQ","우신화장품","주요주주","0","5.01","▲5.01%p","+1,460,498주","보유지분 5%이상으로 인한 보고의무 발생","+6억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000316"
"마니커","027740","KOSPI","이지홀딩스","주요주주","33.99","37.72","▲3.73%p","+1,182,726주","보고자의 장내매수에따른 변동","+18억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000313"
"해치텍","0155E0","KOSDAQ","픽셀플러스","주요주주","0","3.14","▲3.14%p","+172,046주","신규상장 및 장내매도","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000206"
"하나투어","039130","KOSPI","하모니아1호","오너·특수관계","27.79","30.6","▲2.81%p","+283,194주","주식근질권계약 설정 및 해지 - 발행회사 주식의 장내매도 - 특별관계자 변동","+2억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000150"
"이수페타시스","007660","KOSPI","미래에셋자산운용","기관·투자자","6.7","9.16","▲2.46%p","+1,803,418주","지분율 변동","+1,718억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000187"
"이노션","214320","KOSPI","J.P.MORGANSECURITIESPLC","주요주주","0","2.38","▲2.38%p","+951,808주","신규 보고의무 발생","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000094"
"새빗켐","107600","KOSDAQ","에스케이아이엘에코시너지밸류업1호","주요주주","49.84","51.83","▲1.99%p","+99,284주","주식양수도계약 체결에 따른 보유비율 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000330"
"인피니트헬스케어","071200","KOSDAQ","MiriCapitalManagementLLC","외국계","7.1","8.78","▲1.68%p","+410,600주","일반투자목적으로 장내에서 발행회사 주식 매수","+39억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000108"
"우리기술투자","041190","KOSDAQ","이완근","오너·특수관계","30.91","32.53","▲1.62%p","0주","자기주식 이익소각에 따른 보유 비율 변동 - 최대주주 보유주식 담보계약 변경","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000268"
"오텍","067170","KOSDAQ","강성희","주요주주","32.65","34.2","▲1.55%p","+427,449주","장내매수","+11억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000104"
"ESR켄달스퀘어리츠","365550","KOSPI","미래에셋자산운용","기관·투자자","18.82","20.16","▲1.34%p","+3,293,910주","지분율 변동","+107억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000192"
"솔브레인홀딩스","036830","KOSDAQ","정지완","주요주주","77.33","78.46","▲1.13%p","+230,694주","변동보고","+96억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000317"
"한국경제TV","039340","KOSDAQ","박영옥","주요주주","7.74","8.8","▲1.06%p","+243,111주","매매로 인한 지분 변동 보고","+31억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000248"
"이오테크닉스","039030","KOSDAQ","미래에셋자산운용","기관·투자자","6.7","7.75","▲1.05%p","+129,764주","지분율 변동","+482억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000188"
"오리온","271560","KOSPI","SilchesterInternationalInvestorsLLP","외국계","5.03","6.06","▲1.03%p","+409,012주","단순 취득","+525억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000076"
