"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"대진첨단소재","393970","KOSDAQ","오라이언자산운용","기관·투자자","5.47","0","▼5.47%p","-855,706주","장외매도에 따른 변동보고","-24억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000131"
"코아스템켐온","166480","KOSDAQ","김경숙","주요주주","13.89","10.89","▼3%p","-1,585,072주","사내이사 퇴임","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000256"
"금호전기","001210","KOSPI","신주홀딩스","오너·특수관계","32.6","29.83","▼2.77%p","-342,851주","특수관계자 보유 주식 장내매도","-45억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000344"
"탑코미디어","134580","KOSDAQ","엔키홀딩스","주요주주","71.18","69.43","▼1.75%p","-863,457주","교환청구권행사","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000335"
"키다리스튜디오","020120","KOSPI","권정혁","주요주주","6.31","4.63","▼1.68%p","-592,241주","주식수 변동에 따른 보고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000371"
"클래시스","214150","KOSDAQ","CapitalResearchandManagementCompany","외국계","6.16","5.1","▼1.06%p","-694,534주","투자자금 회수목적으로 장내에서 발행회사의 주식 처분","+80억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000007"
"CSA 코스믹","083660","KOSDAQ","브이핑크홀딩스","주요주주","5.25","4.29","▼0.96%p","-4,853,334주","감자, 분할, 유상증자로 인한 발행회사의 발행주식 총수 및 보유주식 변경","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000369"
"엣지파운드리","105550","KOSDAQ","남용현","주요주주","7.62","7.15","▼0.47%p","-4,876,884주","주식병합으로 인한 주식수 변동 및 전환사채 콜옵션 취득권리 상실에 따른 변경","-99억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000387"
"한솔테크닉스","004710","KOSPI","미래에셋자산운용","기관·투자자","5.36","4.94","▼0.42%p","-220,322주","지분율 변동","+33억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000205"
"우성머티리얼스","011300","KOSPI","더블유에스","오너·특수관계","18.69","18.42","▼0.27%p","+259,672주","특별관계자 추가 및 주식수 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000377"
"토니모리","214420","KOSPI","배해동","오너·특수관계","53","52.9","▼0.1%p","-25,400주","보고자(배해동) 주식 증여 특별관계자의 장내 주식 매도","-1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000363"
"DL이앤씨","375500","KOSPI","DL","오너·특수관계","24.84","24.81","▼0.03%p","-10,944주","특별관계자 및 보유주식수 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000348"
