"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"RFHIC","218410","KOSDAQ","MORGANSTANLEY&COINTLPLC","외국계","5.07","1.44","▼3.63%p","-964,925주","자발적 보고: 직전보고서 기준으로 변동 비율이 1% 미만으로 변동보고의의무대","+114억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000339"
"글로벌텍스프리","204620","KOSDAQ","MiriCapitalManagementLLC","외국계","5.83","8.43","▲2.6%p","+1,824,000주","일반투자목적으로 장내에서 발행회사 주식 매수","+101억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000146"
"호텔신라","008770","KOSPI","한국투자신탁운용","기관·투자자","6.85","4.39","▼2.46%p","-964,067주","단순투자목적의 5% 보유주식의 신규보고","+84억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000167"
"아나패스","123860","KOSDAQ","아이베스트투자","주요주주","14.8","16.06","▲1.26%p","+152,200주","장내매매","+62억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000050"
"유니셈","036200","KOSDAQ","FILLIMITED","주요주주","5.03","6.98","▲1.95%p","+597,665주","단순 주식 취득에 의한 변동 보고","+51억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000092"
"한탑","002680","KOSDAQ","류원기","오너·특수관계","42.4","51.56","▲9.16%p","+1,292,671주","특별관계자의 제3자배정 유상증자에 따른 신주취득 및 특별관계자의 주식담보대출","+33억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000289"
"한양이엔지","045100","KOSDAQ","FILLIMITED","주요주주","0","5","▲5%p","+875,833주","단순 주식 취득에 의한 신규 보고","+22억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000083"
"고영","098460","KOSDAQ","J.P.MORGANSECURITIESPLC","오너·특수관계","5.11","4.91","▼0.2%p","-135,954주","특별관계자 변동","+8억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000138"
"한주에이알티","058450","KOSDAQ","신승욱","주요주주","0","5.07","▲5.07%p","+273,956주","장내매수","+8억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000253"
"포커스에이아이","331380","KOSDAQ","넥스플랜","주요주주","7.33","8.34","▲1.01%p","+367,454주","장내매수로 인한 1% 이상 변동","+8억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000285"
"에스에이티","060540","KOSDAQ","에프넷","오너·특수관계","42.14","43.18","▲1.04%p","+271,411주","최대주주의 장내 추가 매수","+4억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000087"
"더라미","032860","KOSDAQ","바이오스마트","오너·특수관계","54.17","54.75","▲0.58%p","-17,460,603주","주식 병합에 따른 발행주식 총수 및 보유 주식수 변동 특별관계자의 장내매수","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000364"
"에스제이그룹","306040","KOSDAQ","이주영","오너·특수관계","55.42","56.03","▲0.61%p","+57,100주","최대주주 장내매수에 따른 보유주식 수 및 보유비율 변동","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000185"
"메카로","241770","KOSDAQ","이재정","주요주주","53.02","53","▼0.02%p","-1,657주","장내매도","-1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000375"
"씨앤투스","352700","KOSDAQ","하춘욱","오너·특수관계","49.19","49.33","▲0.14%p","+34,514주","특수관계인 지분 추가 취득","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000076"
"지엔코","065060","KOSDAQ","크레오에스지","오너·특수관계","73.88","73.95","▲0.07%p","+4,063주","특별관계자 주식장내매수 및 주식근질권설정변경계약체결외","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000249"
"수성웹툰","084180","KOSDAQ","투믹스홀딩스","오너·특수관계","43.13","42.94","▼0.19%p","-81,731주","[변동] 특수관계자 주식 취득 및 전환사채 전환권 소멸","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000112"
