"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"엠엑스로보틱스","007820","KOSDAQ","엠엑스온","10%이상주주","21.11","32.24","▲11.13%p","+3,289,473주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000207"
"아바코","083930","KOSDAQ","위지명","회장 · 10%이상주주 · 등기임원","5.07","10.33","▲5.26%p","+733,863주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000800"
"HLB이노베이션","024850","KOSDAQ","HLB","사실상지배주주","16.14","16.95","▲0.81%p","+254,937주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000259"
"롯데리츠","330590","KOSPI","미래에셋자산운용","10%이상주주","14.69","14.75","▲0.06%p","+184,277주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000668"
"SK리츠","395400","KOSPI","미래에셋자산운용","10%이상주주","20.81","20.87","▲0.06%p","+160,808주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000659"
"HLB파나진","046210","KOSDAQ","진양곤","사내이사 · 등기임원","1.01","1.3","▲0.29%p","+130,100주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000960"
"HLB제약","047920","KOSDAQ","진양곤","이사 · 등기임원","3.05","2.78","▼0.27%p","+129,044주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000959"
"한화리츠","451800","KOSPI","미래에셋자산운용","10%이상주주","25.62","25.69","▲0.07%p","+123,040주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000665"
"에스씨디","042110","KOSDAQ","오길호","대표이사 · 등기임원","0","0.22","▲0.22%p","+105,505주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000442"
"신한알파리츠","293940","KOSPI","미래에셋자산운용","10%이상주주","20.6","20.67","▲0.07%p","+95,231주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000669"
"ESR켄달스퀘어리츠","365550","KOSPI","미래에셋자산운용","10%이상주주","17.82","17.85","▲0.03%p","+93,300주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000666"
"코람코라이프인프라리츠","357120","KOSPI","미래에셋자산운용","10%이상주주","28","28.09","▲0.09%p","+82,053주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000672"
"이지스밸류플러스리츠","334890","KOSPI","미래에셋자산운용","10%이상주주","13.73","13.84","▲0.11%p","+78,829주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000670"
"신한서부티엔디리츠","404990","KOSPI","미래에셋자산운용","10%이상주주","14.61","14.69","▲0.08%p","+78,771주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000662"
"유니온바이오메트릭스","203450","KOSDAQ","신요식","대표이사 · 사실상지배주주 · 등기임원","21.64","22.17","▲0.53%p","+74,756주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000269"
"에이텍","045660","KOSDAQ","신승영","대표이사 · 10%이상주주 · 등기임원","27.59","28.25","▲0.66%p","+54,008주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827001054"
"에스씨디","042110","KOSDAQ","최병삼","이사 · 비등기임원","0","0.07","▲0.07%p","+35,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000456"
"삼성FN리츠","448730","KOSPI","미래에셋자산운용","10%이상주주","13.98","14.02","▲0.04%p","+30,639주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000664"
"제놀루션","225220","KOSDAQ","김기옥","대표이사 · 사실상지배주주 · 등기임원","17.76","17.92","▲0.16%p","+29,420주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000968"
"플레이위드","023770","KOSDAQ","플레이위드게임즈","10%이상주주","10.91","11.23","▲0.32%p","+28,044주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000525"
"주성코퍼레이션","109070","KOSPI","허용호","대표이사 · 등기임원","0.12","0.16","▲0.04%p","+25,133주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000596"
"대원전선","006340","KOSPI","금성실업","10%이상주주","0.31","0.34","▲0.03%p","+23,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000053"
"대신정보통신","020180","KOSDAQ","이재원","대표이사 · 등기임원","9.37","9.63","▲0.26%p","+20,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000569"
"진양폴리우레탄","010640","KOSPI","진양홀딩스","사실상지배주주","51.87","51.97","▲0.1%p","+17,059주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000250"
"미원홀딩스","107590","KOSPI","김정돈","대표이사 · 10%이상주주 · 등기임원","10.57","11.29","▲0.72%p","+16,570주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000419"
"HLB바이오스텝","278650","KOSDAQ","문정환","부회장 · 등기임원","0.07","0.16","▲0.09%p","+15,194주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000256"
"HLB이노베이션","024850","KOSDAQ","진양곤","사내이사 · 등기임원","0.69","0.73","▲0.04%p","+13,485주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000961"
"우진플라임","049800","KOSPI","임동규","부사장 · 등기임원","0.67","0.72","▲0.05%p","+11,173주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000617"
"진양산업","003780","KOSPI","최원석","대표이사 · 등기임원","0","0.08","▲0.08%p","+10,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000234"
"제놀루션","225220","KOSDAQ","박정훈","상무 · 비등기임원","0","0.05","▲0.05%p","+10,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000711"
"에스제이그룹","306040","KOSDAQ","이주영","대표이사 · 사실상지배주주 · 등기임원","34.75","34.85","▲0.1%p","+9,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000603"
"제놀루션","225220","KOSDAQ","김우진","상무 · 비등기임원","0.11","0.15","▲0.04%p","+7,500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000725"
"진양폴리우레탄","010640","KOSPI","김성웅","상무이사 · 비등기임원","0","0.03","▲0.03%p","+6,189주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000426"
"진양폴리우레탄","010640","KOSPI","최재호","대표이사 · 등기임원","0.09","0.12","▲0.03%p","+5,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000414"
"더네이쳐홀딩스","298540","KOSDAQ","더네이쳐","10%이상주주","16.35","16.79","▲0.44%p","+5,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000556"
"제놀루션","225220","KOSDAQ","이순신","상무 · 비등기임원","0","0.03","▲0.03%p","+5,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000716"
"HLB이노베이션","024850","KOSDAQ","김범수","사장 · 비등기임원","0","0.01","▲0.01%p","+4,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000310"
"제놀루션","225220","KOSDAQ","신희종","이사 · 비등기임원","0.02","0.03","▲0.01%p","+3,500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000734"
"닷밀","464580","KOSDAQ","정해운","대표이사 · 10%이상주주 · 등기임원","32.23","32.24","▲0.01%p","+3,124주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000280"
"유진테크","084370","KOSDAQ","제성태","전무 · 비등기임원","0.02","0.03","▲0.01%p","+2,432주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000910"
"티엘비","356860","KOSDAQ","정재우","부사장 · 비등기임원","0.01","0.02","▲0.01%p","+2,420주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000041"
"지에프씨생명과학","388610","KOSDAQ","강희철","대표이사 · 사실상지배주주 · 등기임원","33.02","33.06","▲0.04%p","+2,290주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000540"
"디앤디플랫폼리츠","377190","KOSPI","미래에셋자산운용","10%이상주주","14.22","14.22","0%p","+1,856주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000658"
"위세아이텍","065370","KOSDAQ","김다산","대표이사 · 등기임원","25.37","25.39","▲0.02%p","+1,500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000214"
"아모레퍼시픽","090430","KOSPI","임운섭","경영자 · 등기임원","0","0","0%p","+1,408주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000563"
"아모레퍼시픽","090430","KOSPI","이지연","경영자 · 등기임원","0","0","0%p","+1,408주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000588"
"아모레퍼시픽","090430","KOSPI","김경연","경영자 · 비등기임원","0","0","0%p","+1,408주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000575"
"아모레퍼시픽","090430","KOSPI","박석민","경영자 · 비등기임원","0","0","0%p","+1,408주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000606"
"동국알앤에스","075970","KOSDAQ","권선환","이사 · 비등기임원","0","0.01","▲0.01%p","+1,200주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000470"
"디티앤씨","187220","KOSDAQ","김윤상","부사장 · 등기임원","0.03","0.04","▲0.01%p","+1,079주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000647"
"와이엠티","251370","KOSDAQ","이홍기","독립이사 · 등기임원","0","0.01","▲0.01%p","+890주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000904"
"동국알앤에스","075970","KOSDAQ","김영환","전무 · 등기임원","0","0","0%p","+100주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000479"
"금비","008870","KOSPI","고기영","대표이사 · 10%이상주주 · 등기임원","11.85","11.86","▲0.01%p","+55주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000593"
"현대건설","000720","KOSPI","최원희","상무 · 비등기임원","0","0","0%p","+30주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000488"
