"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"삼성전자","005930","KOSPI","김은용","상무 · 비등기임원","0","0","0%p","-80주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000066"
"바이오톡스텍","086040","KOSDAQ","강종구","대표이사 · 사실상지배주주 · 등기임원","12.84","12.93","▲0.09%p","+13,865주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000130"
"대원전선","006340","KOSPI","갑도물산","10%이상주주","21.41","21.42","▲0.01%p","+10,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000114"
"에스케이바이오팜","326030","KOSPI","이동훈","사장 · 등기임원","0","0.01","▲0.01%p","+2,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000159"
"에스케이바이오팜","326030","KOSPI","유창호","전략부문장 · 비등기임원","0.05","0.05","0%p","+500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000145"
"한국정밀기계","101680","KOSDAQ","하만기","이사 · 등기임원","0.08","0.24","▲0.16%p","+13,527주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000235"
"한국정밀기계","101680","KOSDAQ","오현경","이사 · 등기임원","1.63","1.77","▲0.14%p","+11,750주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000209"
"한화비전","489790","KOSPI","이채원","글로벌영업실장 · 비등기임원","0","0","0%p","+200주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000388"
"바이오포트","188040","KOSDAQ","김기영","부사장 · 등기임원","6.01","6.13","▲0.12%p","+5,500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000619"
"핌스","347770","KOSDAQ","김민용","오너·특수관계","0.22","0.42","▲0.2%p","+45,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000609"
"DMS","068790","KOSDAQ","이상진","사내이사 · 등기임원","0","0.01","▲0.01%p","+3,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000641"
"에이치시티","072990","KOSDAQ","안인수","부사장 · 등기임원","0.11","0.18","▲0.07%p","+10,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000721"
"인카금융서비스","211050","KOSDAQ","최병채","대표이사 · 10%이상주주 · 등기임원","27","27.07","▲0.07%p","+31,106주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000818"
"씨엑스아이","900120","KOSDAQ","LIN JINSHENG","대표이사 · 사실상지배주주 · 등기임원","43.69","36.89","▼6.8%p","-844,248주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000796"
"씨엑스아이","900120","KOSDAQ","WANG GUANGCAI","10%이상주주","0","21.18","▲21.18%p","+2,400,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000854"
"핌스","347770","KOSDAQ","김민용","대표이사 · 등기임원","0.4","0.6","▲0.2%p","+45,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000924"
"씨엑스아이","900120","KOSDAQ","ZHANG DONGXIAN","10%이상주주","10.2","24.18","▲13.98%p","+1,040,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000883"
"아이디스","143160","KOSDAQ","아이디스홀딩스","사실상지배주주","47.84","48.02","▲0.18%p","+19,029주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831001091"
