"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"윙스풋","335870","KOSDAQ","모티바코리아","10%이상주주","39.81","39.8","▼0.01%p","-7,878,937주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000219"
"디와이에이","002880","KOSPI","박영우","사실상지배주주","18.06","18.05","▼0.01%p","-6,753,647주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000294"
"토니모리","214420","KOSPI","배해동","회장 · 등기임원","27.81","7.61","▼20.2%p","-4,860,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000341"
"윙스풋","335870","KOSDAQ","휴먼웰니스","10%이상주주","22.94","22.94","0%p","-3,073,980주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000248"
"HD현대","267250","KOSPI","정몽준","10%이상주주","26.6","23.05","▼3.55%p","-2,800,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000342"
"디와이에이","002880","KOSPI","영일이","사실상지배주주","6.68","6.68","0%p","-2,499,869주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000334"
"디와이에이","002880","KOSPI","푸른산수목원","사실상지배주주","5.08","5.08","0%p","-1,902,510주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000338"
"디와이에이","002880","KOSPI","박은진","부사장 · 사실상지배주주 · 등기임원","5","5","0%p","-1,869,888주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000309"
"코아스템켐온","166480","KOSDAQ","권광순","사장 · 등기임원","3.09","0","▼3.09%p","-1,585,072주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000257"
"디와이에이","002880","KOSPI","한유진","사실상지배주주","4","4","0%p","-1,496,316주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260903000323"
