"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"뉴온","123840","KOSDAQ","최봉근","대표이사 · 등기임원","3.83","0.85","▼2.98%p","-10,654,825주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000411"
"세화피앤씨","252500","KOSDAQ","이훈구","대표이사 · 등기임원","24.69","24.69","0%p","-8,195,493주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000379"
"딥커머스","900110","KOSDAQ","DING SHAOYING","대표이사 · 사실상지배주주 · 등기임원","13.8","37.93","▲24.13%p","+1,651,957주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000429"
"MDS스피어","009810","KOSPI","김재욱","대표이사 · 사실상지배주주 · 등기임원","1.6","3.85","▲2.25%p","+541,418주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000305"
"세화피앤씨","252500","KOSDAQ","이재복","부사장 · 등기임원","1.04","1.04","0%p","-343,628주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000473"
"MDS스피어","009810","KOSPI","한영택","부회장 · 비등기임원","0","1.33","▲1.33%p","+270,709주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000309"
"진양화학","051630","KOSPI","양준영","회장 · 등기임원","0","0.75","▲0.75%p","+159,280주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000053"
"제테마","216080","KOSDAQ","곽민정","이사 · 비등기임원","0.25","0.56","▲0.31%p","+120,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000536"
"제테마","216080","KOSDAQ","남정선","대표이사 · 등기임원","2.17","1.86","▼0.31%p","-120,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000539"
"메카로","241770","KOSDAQ","이재정","회장 · 등기임원","28.22","26.82","▼1.4%p","-117,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000312"
"세화피앤씨","252500","KOSDAQ","조준한","이사 · 등기임원","0.3","0.3","0%p","-98,080주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000432"
"청담글로벌","362320","KOSDAQ","최석주","대표이사 · 10%이상주주 · 등기임원","40.36","40.69","▲0.33%p","+70,305주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000510"
"라온텍","418420","KOSDAQ","이광수","전무이사 · 비등기임원","0.82","0.69","▼0.13%p","-40,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000202"
"나라스페이스테크놀로지","478340","KOSDAQ","박재필","대표이사 · 사실상지배주주 · 등기임원","20.3","20.29","▼0.01%p","+15,010주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000094"
"KSS해운","044450","KOSPI","박강태","독립이사 · 등기임원","0","0.04","▲0.04%p","+10,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000117"
"더코디","224060","KOSDAQ","양기식","상무이사 · 비등기임원","0","0.08","▲0.08%p","+3,976주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000085"
"더코디","224060","KOSDAQ","송상호","이사 · 비등기임원","0","0.07","▲0.07%p","+3,454주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000175"
